:START_ID,:END_ID,:TYPE,evidence,evidence_location,references
e2,e1,DESTROYS,"autoimmune CD8+ T cells, which are the final mediators of beta cell destruction, circulate at similar frequencies in type 1 diabetic and healthy individuals.",19,
e1,e48,TRIGGERS,Beta cells fulfil this task by adapting ER function to these changing demands by triggering the unfolded protein response (UPR).,128,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e48,e49,INHIBITS,"The UPR decreases the ingress of newly synthesised proteins into the ER and increases the extrusion of misfolded proteins and the synthesis of ER chaperones, thus upgrading the folding capacity of the organelle.",130,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e49,e50,TRIGGERS,"If this fails to restore ER homeostasis, beta cells eventually activate the apoptotic pathway.",133,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e49,e51,TRIGGERS,"This dysregulated ER stress also augments local inflammation via activation of the NF-kB pathway, increasing the local release of chemokines that attract immune cells.",135,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e49,e52,TRIGGERS,"This dysregulated ER stress also augments local inflammation via activation of the NF-kB pathway, increasing the local release of chemokines that attract immune cells and the generation of neo-antigens.",135,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3 | James EA, Pietropaolo M, Mamula MJ (2018) Immune recognition of beta-cells: neoepitopes as key players in the loss of tolerance. Diabetes 67(6):1035-1042. https://doi.org/10.2337/dbi17-0030"
e51,e58,CAUSES,"This dysregulated ER stress also augments local inflammation via activation of the NF-kB pathway, increasing the local release of chemokines that attract immune cells.",135,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e58,e2,ATTRACTS,increasing the local release of chemokines that attract immune cells.,135,"Eizirik DL, Miani M, Cardozo AK (2013) Signalling danger: endoplasmic reticulum stress and the unfolded protein response in pancreatic islet inflammation. Diabetologia 56(2):234-241. https://doi.org/10.1007/s00125-012-2762-3"
e85,e11,PREDISPOSES_TO,"Predisposing HLA Class II alleles account for most of the genetic risk, which points to the role of antigen-presenting cells (APCs) in driving disease progression via the uptake of beta cell material and the priming of CD4+ T cells.",147,
e85,e62,TRIGGERS,"Predisposing HLA Class II alleles account for most of the genetic risk, which points to the role of antigen-presenting cells (APCs) in driving disease progression via the uptake of beta cell material and the priming of CD4+ T cells.",147,
e4,e62,TRIGGERS,"Predisposing HLA Class II alleles account for most of the genetic risk, which points to the role of antigen-presenting cells (APCs) in driving disease progression via the uptake of beta cell material and the priming of CD4+ T cells.",147,
e4,e3,ACTIVATES,the role of antigen-presenting cells (APCs) in driving disease progression via the uptake of beta cell material and the priming of CD4+ T cells.,148,
e86,e51,POTENTIATES,"Other type 1 diabetes-associated gene variants can synergise with ER stress to potentiate local inflammation. These include MDA5 (also known as IFIH1), which encodes a cytoplasmic receptor for viral double-stranded RNA.",151,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
e18,e42,UPREGULATES,"MDA5 (also known as IFIH1), which encodes a cytoplasmic receptor for viral double-stranded RNA and is upregulated in human islets upon Coxsackievirus B (CVB) infection and potentiates chemokine release.",154,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
e72,e18,ACTIVATES,"MDA5 (also known as IFIH1), which encodes a cytoplasmic receptor for viral double-stranded RNA and is upregulated in human islets upon Coxsackievirus B (CVB) infection.",154,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
e72,e49,POTENTIATES,"environmental cues, such as islet-tropic CVB infections, which are candidate environmental triggers for type 1 diabetes, may synergise with ER stress when stochastically coming together in time and space.",159,"Op de Beeck A, Eizirik DL (2016) Viral infections in type 1 diabetes mellitus - why the beta cells? Nat Rev Endocrinol 12(5):263-273. https://doi.org/10.1038/nrendo.2016.30"
e72,e48,ACTIVATES,recent findings suggest that CVBs use the UPR pathway IRE1alpha/XBP1s/JNK1 to foster their own replication in beta cells.,162,"Colli ML, Paula FM, Marselli L et al (2019) Coxsackievirus B tailors the unfolded protein response to favour viral amplification in pancreatic beta cells. J Innate Immun 11(4):375-390. https://doi.org/10.1159/000496034"
e72,e22,ACTIVATES,CVBs use the UPR pathway IRE1alpha/XBP1s/JNK1 to foster their own replication in beta cells.,163,"Colli ML, Paula FM, Marselli L et al (2019) Coxsackievirus B tailors the unfolded protein response to favour viral amplification in pancreatic beta cells. J Innate Immun 11(4):375-390. https://doi.org/10.1159/000496034"
e22,e23,ACTIVATES,CVBs use the UPR pathway IRE1alpha/XBP1s/JNK1 to foster their own replication in beta cells.,163,"Colli ML, Paula FM, Marselli L et al (2019) Coxsackievirus B tailors the unfolded protein response to favour viral amplification in pancreatic beta cells. J Innate Immun 11(4):375-390. https://doi.org/10.1159/000496034"
e23,e24,ACTIVATES,CVBs use the UPR pathway IRE1alpha/XBP1s/JNK1 to foster their own replication in beta cells.,163,"Colli ML, Paula FM, Marselli L et al (2019) Coxsackievirus B tailors the unfolded protein response to favour viral amplification in pancreatic beta cells. J Innate Immun 11(4):375-390. https://doi.org/10.1159/000496034"
e21,e50,INHIBITS,"This may reflect their higher resistance to ER stress-induced apoptosis, partly as a result of their higher expression of the anti-apoptotic protein Bcl2l1/BclxL.",167,"Marroqui L, Masini M, Merino B et al (2015) Pancreatic alpha cells are resistant to metabolic stress-induced apoptosis in type 2 diabetes. EBioMedicine 2(5):378-385. https://doi.org/10.1016/j.ebiom.2015.03.012"
e5,e50,INHIBITS,neighbouring alpha cells are spared by islet autoimmunity. This may reflect their higher resistance to ER stress-induced apoptosis.,166,"Marroqui L, Masini M, Merino B et al (2015) Pancreatic alpha cells are resistant to metabolic stress-induced apoptosis in type 2 diabetes. EBioMedicine 2(5):378-385. https://doi.org/10.1016/j.ebiom.2015.03.012"
e49,e57,CAUSES,the increased rate of (pro)insulin translation upon increased metabolic demands and the resulting ER stress may also lead to an increased frequency of misfolding events and accumulation of defective ribosomal products (DRiPs).,171,"Anton LC, Yewdell JW (2014) Translating DRiPs: MHC class I immunosurveillance of pathogens and tumors. J Leukoc Biol 95(4):551-562. https://doi.org/10.1189/jlb.1113599"
e57,e53,TRIGGERS,DRiPs constitute a major source of peptides for the HLA-I processing and presentation pathway.,175,"Anton LC, Yewdell JW (2014) Translating DRiPs: MHC class I immunosurveillance of pathogens and tumors. J Leukoc Biol 95(4):551-562. https://doi.org/10.1189/jlb.1113599"
e49,e25,UPREGULATES,ER stress upregulates the ER aminopeptidase 1 that trims the pre-proinsulin signal sequence.,182,"Thomaidou S, Kracht MJL, van der Slik A et al (2020) Beta-cell stress shapes CTL immune recognition of preproinsulin signal peptide by posttranscriptional regulation of endoplasmic reticulum aminopeptidase 1. Diabetes 69(4):670-680. https://doi.org/10.2337/db19-0984"
e25,e53,ACTIVATES,ER stress upregulates the ER aminopeptidase 1 that trims the pre-proinsulin signal sequence.,182,"Thomaidou S, Kracht MJL, van der Slik A et al (2020) Beta-cell stress shapes CTL immune recognition of preproinsulin signal peptide by posttranscriptional regulation of endoplasmic reticulum aminopeptidase 1. Diabetes 69(4):670-680. https://doi.org/10.2337/db19-0984"
e56,e52,CAUSES,"Neo-epitopes can be generated by modulation of mRNA splicing and by post-translational modifications via the upregulation of modifying enzymes, either expressed by beta cells or released by immune cells (e.g. neutrophils).",211,"James EA, Pietropaolo M, Mamula MJ (2018) Immune recognition of beta-cells: neoepitopes as key players in the loss of tolerance. Diabetes 67(6):1035-1042. https://doi.org/10.2337/dbi17-0030"
